CERT,NAME,REPDTE,BKCLASS,INSDIF,ASSET,CHBAL,SC,LNLSNET,DEP,FREPP,OTHBRF,SUBND,LIAB,EQTOT,EQ,OA,ALLOTHL,BORROWED_FUNDS_CALC,OTHER_ASSETS_CALC,OTHER_LIABILITIES_CALC,BALANCE_DIFFERENCE_CALC
14,STATE STREET BANK&TRUST CO,20251231,SM,1,360681000,130826000,104887000,46770000,280582000,841000,17088000,524000,331762000,28919000,28919000,53970000,27965000,18453000,78198000,32727000,0
35,AUBURNBANK,20251231,SM,1,1018261,126510,233259,558350,923654,0,157,0,927501,90760,90760,32282,3690,157,100142,3690,0
39,ROBERTSON BANKING CO,20251231,NM,1,468318,27481,102003,306814,407647,0,8000,0,420299,48019,48019,13434,4652,8000,32020,4652,0
41,PHENIX-GIRARD BANK,20251231,NM,1,345388,37033,216282,81097,327931,0,0,0,336587,8801,8801,9490,8656,0,10976,8656,0
49,BANK OF EVERGREEN,20251231,NM,1,77314,4339,36205,31193,68011,0,0,0,68348,8966,8966,1744,337,0,5577,337,0
50,COMMUNITY SPIRIT BANK,20251231,NM,1,220292,18485,44710,144510,198159,0,2000,0,202414,17878,17878,5627,2255,2000,12587,2255,0
51,BANK OF VERNON,20251231,NM,1,414568,28615,56563,316102,345108,0,0,0,346956,67612,67612,4603,1848,0,13288,1848,0
52,CITIZENS BANK OF WINFIELD,20251231,NM,1,294607,11991,141505,111327,221217,0,43000,0,267099,27508,27508,25873,2882,43000,29784,2882,0
54,EXCHANGE BANK OF ALABAMA,20251231,NM,1,392141,24969,125440,199546,336583,2200,0,0,340470,51671,51671,8726,1687,2200,42186,1687,0
58,UNITED BANK,20251231,NM,1,1446151,154526,297394,882475,1194745,0,27716,0,1233112,213039,213039,53876,10651,27716,111756,10651,0
70,PEOPLES EXCHANGE BANK,20251231,NM,1,97056,6657,22361,52667,85400,0,0,0,86046,11010,11010,4150,646,0,15371,646,0
72,CENTRAL STATE BANK,20251231,SM,1,743393,83528,81592,539201,666469,0,0,0,672021,71372,71372,17522,5552,0,39072,5552,0
77,BANKSOUTH,20251231,NM,1,210629,7982,30172,169841,168643,0,0,0,169773,40856,40856,1264,1130,0,2634,1130,0
81,WARREN BANK&TRUST CO,20251231,SM,1,141012,3416,41973,84745,115749,0,2989,0,119410,21602,21602,2737,672,2989,10878,672,0
88,GENERATIONS BANK,20251231,SM,1,1064187,23542,240390,734524,896090,0,43000,0,946563,117624,117624,44198,7473,43000,65731,7473,0
89,SIGNATURE BANK OF ARKANSAS,20251231,SM,1,1523393,46776,157739,1250652,1324919,0,31491,0,1388356,135037,135037,29865,31946,31491,68226,31946,0
90,COMMERCIAL BANK&TRUST CO,20251231,SM,1,375073,8376,102495,246930,339067,0,10050,0,350237,24836,24836,14416,1120,10050,17272,1120,0
93,RIVERSIDE BANK,20251231,NM,1,71824,460,1309,55385,60064,0,0,0,60405,11419,11419,1680,341,0,14670,341,0
99,BANK OF DELIGHT,20251231,NM,1,195233,2018,7113,176546,165187,0,3784,0,169968,25265,25265,2690,997,3784,9556,997,0
105,BANK OF CAVE CITY,20251231,SM,1,189713,7236,36083,123251,167114,0,7662,0,178009,11704,11704,9269,3233,7662,23143,3233,0
107,MERCHANTS&PLANTERS BANK,20251231,NM,1,55197,1788,27223,17539,51129,0,0,0,51339,3858,3858,1233,210,0,8647,210,0
109,HORATIO STATE BANK,20251231,NM,1,310605,12221,29324,257679,276028,0,0,0,276820,33785,33785,9600,792,0,11381,792,0
110,BANK OZK,20251231,NM,1,40785840,2833820,2610143,31842064,33384965,537,0,463041,34655989,6129851,6129851,1862483,807446,463578,3499813,807446,0
131,SEACOAST NATIONAL BANK,20251231,N,1,20830874,359109,5764668,12465478,16264595,485862,835000,0,17794031,3036843,3036739,684621,208574,1320862,2241619,208574,0
147,CENTURY BANK&TRUST,20251231,NM,1,363772,24197,124026,198735,321000,0,0,0,323153,40619,40619,12192,2153,0,16814,2153,0
148,BANK OF MADISON,20251231,NM,1,426343,20689,75896,315236,379705,0,0,0,383451,42892,42892,4759,3746,0,14522,3746,0
149,BANK OF HAZLEHURST,20251231,NM,1,143757,43431,46158,51935,127057,0,0,0,127387,16370,16370,1357,330,0,2233,330,0
155,BANK OF ALAPAHA,20251231,NM,1,250135,43502,62818,119406,229618,0,0,0,231283,18852,18852,4596,1665,0,24409,1665,0
160,EXCHANGE BANK,20251231,NM,1,424869,7926,132799,266325,344544,1350,31000,0,378450,46419,46419,7117,1556,32350,17819,1556,0
169,FIRST NB OF GRIFFIN,20251231,N,1,365919,48590,116791,177804,317380,14717,0,0,333153,32766,32766,13897,1056,14717,22734,1056,0
170,PEOPLES BANK OF GEORGIA,20251231,NM,1,235258,27228,14321,185249,213679,0,0,0,215091,20167,20167,3852,1412,0,8460,1412,0
172,UNITED BANK,20251231,NM,1,2331428,674641,689882,912782,2070938,0,0,0,2093108,238320,238320,27780,22170,0,54123,22170,0
175,COMMERCIAL BANK,20251231,NM,1,462640,19714,76152,316733,419723,0,0,0,423369,39271,39271,3204,3646,0,50041,3646,0
178,TALBOT STATE BANK,20251231,NM,1,52956,7233,13137,31116,46279,0,4000,0,50367,2589,2589,854,88,4000,1470,88,0
183,MERCHANTS&CITIZENS BANK,20251231,NM,1,137634,5990,70347,49854,121213,0,0,0,123153,14481,14481,8122,1940,0,11443,1940,0
197,ALLIANCE BANK,20251231,NM,1,461977,5845,104770,312095,398317,6402,7000,0,416962,45015,45015,20652,5243,13402,39267,5243,0
210,TRI-COUNTY BANK&TRUST CO,20251231,NM,1,295690,6777,52159,201589,241312,0,30000,0,271995,23695,23695,11592,683,30000,35165,683,0
214,WASHINGTON STATE BANK,20251231,SM,1,588904,14954,192351,343566,519920,3179,17552,0,545953,42951,42951,34447,5302,20731,38033,5302,0
226,GUTHRIE COUNTY STATE BANK,20251231,NM,1,279288,3112,101575,158821,202666,7473,40500,0,252488,26800,26800,11709,1849,47973,15780,1849,0
228,AMERICAN STATE BANK,20251231,NM,1,1512992,101358,22304,1345893,1304094,0,45000,0,1355418,157574,157574,19351,6324,45000,43437,6324,0
230,COMMUNITY STATE BANK,20251231,NM,1,342577,2307,155600,158172,291162,0,20482,0,314089,28488,28488,6340,2445,20482,26498,2445,0
231,COMMERCIAL SAVINGS BANK,20251231,SM,1,335554,31756,31165,262716,278382,2576,24900,0,307513,28041,28041,3518,1655,27476,9917,1655,0
232,SOLON STATE BANK,20251231,NM,1,125699,2948,34547,83134,83442,0,12850,0,96789,28910,28910,1492,497,12850,5070,497,0
234,POCAHONTAS STATE BANK,20251231,NM,1,122562,2269,75053,40820,85938,535,1500,0,88815,33747,33747,1737,842,2035,4420,842,0
235,SECURITY STATE BANK,20251231,NM,1,480775,5216,4104,432783,330686,0,97000,0,429216,51559,51559,14234,1530,97000,38672,1530,0
245,RACCOON VALLEY BANK,20251231,NM,1,472860,9662,76453,367896,416809,2800,6000,0,429270,43590,43590,7131,3661,8800,18849,3661,0
248,STATE SAVINGS BANK,20251231,NM,1,274293,27371,305,236143,204588,0,42922,0,250109,24184,24184,9132,2599,42922,10474,2599,0
251,FIRST SECURITY BANK,20251231,NM,1,63347,7970,11738,37503,53184,0,0,0,53430,9917,9917,1968,246,0,6136,246,0
252,PINNACLE BANK,20251231,SM,1,306592,16573,60540,209208,263395,1372,0,0,267073,39519,39519,12070,2306,1372,20271,2306,0
253,LUANA SAVINGS BANK,20251231,NM,1,2209415,39675,329822,1775839,1849819,0,136500,0,2001418,207997,207997,41829,15099,136500,64079,15099,0
254,FIRST WHITNEY BANK&TRUST,20251231,NM,1,304218,4991,119711,173723,249451,4255,17000,0,271791,32427,32427,5260,1085,21255,5793,1085,0
258,STOCK YARDS BANK&TRUST CO,20251231,NM,1,9533246,884141,921057,6955690,7793115,119765,302140,0,8458991,1074255,1074255,238491,243971,421905,772358,243971,0
262,CITIZENS BANK,20251231,NM,1,251504,10345,16166,212549,219991,0,11000,0,231977,19527,19527,6809,986,11000,12444,986,0
267,KENTUCKY FARMERS BANK CORP,20251231,NM,1,331206,31860,116920,166185,278704,0,0,0,279998,51208,51208,6358,1294,0,16241,1294,0
275,MORGANTOWN BANK&TRUST CO INC,20251231,NM,1,421664,10213,53770,331321,369604,0,16161,0,389283,32381,32381,11905,3518,16161,26360,3518,0
281,HYDEN CITIZENS BANK,20251231,NM,1,146152,5112,53427,82109,128333,2550,4500,0,136433,9719,9719,1346,1050,7050,5504,1050,0
284,AUBURN BANKING CO,20251231,NM,1,153359,4311,19360,114885,137733,1000,3000,0,142232,11127,11127,2784,499,4000,14803,499,0
287,COMMUNITY FINL SERVICES BK,20251231,SM,1,1410476,71103,283667,954983,1274703,0,20000,0,1300818,109658,109658,61049,6115,20000,100723,6115,0
288,FARMERS&TRADERS BK CAMPTON,20251231,NM,1,67660,1777,22553,40268,55015,1261,6250,0,63062,4598,4598,746,536,7511,3062,536,0
289,BANK OF HINDMAN,20251231,NM,1,267999,17443,110145,123114,217747,21948,8000,0,248345,19654,19654,6103,650,29948,17297,650,0
291,JACKSON COUNTY BANK,20251231,NM,1,175162,18670,81305,72892,114118,11914,0,0,126377,48785,48785,1212,345,11914,2295,345,0
292,MONTICELLO BANKING CO,20251231,SM,1,1140123,40509,214505,810133,938702,0,100000,0,1044812,95311,95311,47442,6110,100000,74976,6110,0
296,BANK OF EDMONSON COUNTY,20251231,NM,1,282643,6072,66382,199020,242258,4940,8961,0,257277,25366,25366,5984,1118,13901,11169,1118,0
297,LEWISBURG BANKING CO,20251231,SM,1,222860,7648,41303,159043,177639,20902,5000,0,203868,18992,18992,2135,327,25902,14866,327,0
303,UNITED CUMBERLAND BANK,20251231,NM,1,453787,42582,76620,314510,394327,3032,5455,0,404452,49335,49335,12349,1638,8487,20075,1638,0
304,CLINTON BANK,20251231,NM,1,72174,1477,17401,50025,60555,0,0,0,60935,11239,11239,1598,380,0,3271,380,0
306,BANK OF ZACHARY,20251231,NM,1,411205,4317,96570,286886,357754,0,13000,0,372130,39075,39075,7965,1376,13000,23432,1376,0
307,LANDMARK BANK,20251231,NM,1,271274,56578,33091,162516,245765,0,0,0,246595,24679,24679,7020,830,0,19089,830,0
314,MER ROUGE STATE BANK,20251231,NM,1,50025,11960,11758,24898,44617,0,0,0,44691,5334,5334,1082,74,0,1409,74,0
324,CITIZENS BANK,20251231,NM,1,470124,50117,96294,296481,404771,0,1366,0,410066,60058,60058,15453,3929,1366,27232,3929,0
